species	AI	BM	KY	MS	TC	VG	organism_type	synonyms	common_names	broad_habitat	exotic_in	invasive_in	main_reference	checklist	origin	phylum
Molothrus bonariensis	NA	NA	14	NA	NA	3	Vertebrate - Bird	NA	Shiny cowbird;Pajaro vaquero (DR)	Terrestrial	"Jamaica;Bahamas Islands;Dominican
Republic;Curacao;Martinique;Barbados;Puerto Rico;Cuba;"	"Jamaica: Bahamas
Islands;Dominican Republic;Curacao;Martinique;Barbados;P uerto Rico;"	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Monomorium destructor	NA	NA	1	1	NA	1	"Invertebrate -
Insect"	NA	Singapore ant (ISC)	NA	Puerto Rico;	NA	"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"	Caribbean_IAS_db	NA	NA
Monomorium floricola	7	NA	8	6	2	4	"Invertebrate -
Insect"	NA	NA	NA	"Anguilla;Montserrat;British Virgin Islands;Cayman Islands;Bermuda;Haiti;
Dominican Republic;Puerto Rico;US Virgin Islands;Curacao;Martinique;St.
Lucia;St. Vincent- Grenadines;Grenada;Barbados;Trinidad-Tobago;
Dominica;Guadeloupe;Antigua-Barbuda;St. Kitts-Nevis;Bahamas Islands;
Cuba;Jamaica;Aruba;Bonaire;St. Martin (France);Venezuela;Guyana; Suriname;"	NA	"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"	Caribbean_IAS_db	NA	NA
Monomorium pharaonis	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	Pharaoh ant(ISC)	NA	Bermuda;	NA	"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"	Caribbean_IAS_db	NA	NA
Mus musculus	NA	5	3	NA	NA	NA	"Vertebrate -
Mammal"	NA	"Mouse;Biganuelo (DR);
Raton casero (DR);house mouse;"	Terrestrial	"Bahamas Islands;Dominican Republic;Curacao;Dominica;Haiti;Trinidad-
Tobago;Anguilla;British Virgin Islands;Cayman Islands (Cayman Brac,Grand
Cayman,Little Cayman); Bermuda; Martinique;Guadeloupe;"	"Bahamas
Islands;Curacao;Do minican Republic;Curacao;D ominica;Haiti;Trinidad-
Tobago?Cayman Islands (Cayman Brac Island,Grand Cayman,Little
Cayman);Martinique;"	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Musculista senhousia	NA	NA	NA	NA	NA	NA	"Invertebrate -
Mollusc"	NA	NA	Marine	Mexico;	NA	"CABI,2012. Musculista senhousia. In: Invasive Species
Compendium. Wallingford, UK: CAB International.
http://www.cabi.org/isc."	Caribbean_IAS_db	NA	NA
Mycale grandis	NA	NA	NA	NA	NA	NA	"Invertebrate -
Sponge"	NA	orange keyhole sponge	Marine	Mexico;	Mexico;	"CABI,2012. Mycale grandis. In: Invasive Species Compendium.
Wallingford, UK: CAB International. http://www.cabi.org/isc."	Caribbean_IAS_db	NA	NA
Myiopsitta monachus	NA	NA	96	NA	NA	NA	Vertebrate - Bird	NA	Monk parakeet (ISC)	NA	Cayman Islands;Bermuda;Puerto Rico;Bahamas Islands;	Cayman Islands;	"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"	Caribbean_IAS_db	NA	NA
Mylopharyngodon piceus	NA	NA	NA	NA	NA	NA	Vertebrate - Fish	NA	black amur	NA	Cuba	NA	"CABI,2011. Mylopharyngodon piceus. In: Invasive Species
Compendium. Wallingford, UK: CAB International.
http://www.cabi.org/isc."	Caribbean_IAS_db	NA	NA
Myosotella myosotis	NA	46	NA	NA	NA	NA	"Invertebrate -
mollusc"	NA	Marsh snail	Marine	Florida;	NA	"Lopez Vyjayanthi and Ulrike Krauss. National and Regional
Capacities and Experiences on Marine Invasive Species,Including
Ballast Waters, Management Programmes in the Wider Caribbean
Region - a Compilation of Current Information. 2006."	Caribbean_IAS_db	NA	NA
Mytilus galloprovincialis	NA	NA	NA	NA	NA	NA	"Invertebrate -
Molllusc"	NA	Mediterranean mussel	Marine	Mexico;	NA	"CABI,2012. Mytilus galloprovincialis. In: Invasive Species
Compendium. Wallingford, UK: CAB International.
http://www.cabi.org/isc."	Caribbean_IAS_db	NA	NA
Neocalanus sp.	NA	NA	NA	NA	NA	NA	"Invertebrate -
crustacean"	NA	A copepod	Marine	Colombia;	NA	"Lopez Vyjayanthi and Ulrike Krauss. National and Regional
Capacities and Experiences on Marine Invasive Species,Including
Ballast Waters, Management Programmes in the Wider Caribbean
Region - a Compilation of Current Information. 2006."	Caribbean_IAS_db	NA	NA
Neophyllaphis brimblecombei	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	NA	Terrestrial	Bahamas Islands;	NA	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Nipaecoccus nipae	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	coconut mealybug	Terrestrial	Bahamas Islands;	NA	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Norops grahami	NA	NA	NA	NA	NA	NA	Vertebrate - Reptile	NA	NA	NA	Bermuda;	Bermuda;	"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"	Caribbean_IAS_db	NA	NA
Norops sagrei	NA	NA	NA	NA	NA	NA	Vertebrate - Reptile	NA	Bahamian brown anole (ISC)	NA	Cayman Islands;Grenada;Jamaica;	Cayman Islands;Grenada;Jamaica;	"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"	Caribbean_IAS_db	NA	NA
"Nylanderia (=Paratrechina)
pubens"	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	NA	NA	Bermuda;US Virgin Islands;	Bermuda;US Virgin Islands;	"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"	Caribbean_IAS_db	NA	NA
Ocyptamus sp.	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	NA	Freshwater	Bahamas Islands;	NA	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Odocoileus virginianus	NA	NA	NA	NA	NA	NA	"Vertebrate -
Mammal"	NA	White-tailed deer;	Terrestrial	Jamaica;	Jamaica:	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Oenebra muricoides	NA	NA	NA	NA	NA	NA	"Invertebrate -
Mollusc"	NA	Adam's dward triton;	Marine	Curacao	Curacao;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Oithona ovalis	NA	NA	NA	NA	NA	NA	"Invertebrate -
crustacean"	NA	A copepod	Marine	Colombia;	NA	"Lopez Vyjayanthi and Ulrike Krauss. National and Regional
Capacities and Experiences on Marine Invasive Species,Including
Ballast Waters, Management Programmes in the Wider Caribbean
Region - a Compilation of Current Information. 2006."	Caribbean_IAS_db	NA	NA
Oithona plumifera	NA	NA	NA	NA	NA	NA	"Invertebrate -
crustacean"	NA	A copepod	Marine	Colombia;	NA	"Lopez Vyjayanthi and Ulrike Krauss. National and Regional
Capacities and Experiences on Marine Invasive Species,Including
Ballast Waters, Management Programmes in the Wider Caribbean
Region - a Compilation of Current Information. 2006."	Caribbean_IAS_db	NA	NA
Olla v-nigrum	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	Ladybird beetle	Terrestrial	Bahamas Islands;	NA	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Oncorhynchus mykiss	NA	NA	NA	NA	NA	NA	Vertebrate - Fish	Salmo gairdneri	"Trucha arco iris (DR);rainbow trout;steelhead
trout"	Freshwater	"Dominican Republic;Puerto Rico;Venezuela;Guyana;Honduras;Colombia;
Guatemala;Costa Rica;Panama;Florida;Texas;Louisiana;"	Dominican Republic;Colombia;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Oncorhynchus tshawytscha	NA	NA	NA	NA	NA	NA	Vertebrate - Fish	NA	Chinook Salmon	Marine	Mexico;Nicaragua;	NA	"CABI,2012. Oncorhynchus tshawytscha. In: Invasive Species
Compendium. Wallingford, UK: CAB International.
http://www.cabi.org/isc."	Caribbean_IAS_db	NA	NA
Opogona sacchari	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	Banana moth	NA	Bermuda, Barbados, Venezuela	Bermuda;Barbados;Venezuela;	"CABI,2011. Opogona sacchari. In: Invasive Species Compendium.
Wallingford, UK: CAB International. http://www.cabi.org/isc."	Caribbean_IAS_db	NA	NA
Oreochromis aureus	NA	NA	NA	NA	NA	NA	Vertebrate - Fish	NA	Tilapia aurea (DR);Blue Tilapia	Freshwater	"Dominican Republic;Haiti;Puerto Rico;Netherlands Antilles;Dominica;Antigua-
Barbuda;Bahamas Islands;Cuba;Guatemala; Nicaragua;Costa Rica;Panama;"	Dominican Republic	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Oreochromis mossambicus	NA	NA	NA	NA	NA	NA	Vertebrate - Fish	NA	"Tilapia mossambica (DR);Mozambique tilapia
(ISC)"	"Freshwater
Marine"	"Dominican Republic;Haiti;Puerto Rico;Martinique;St.
Lucia;Grenada;Barbados;Trinidad-Tobago;Dominica;Guadeloupe;Antigua-
Barbuda;Bahamas Islands;Cuba;Jamaica;Venezuela; Guyana;Suriname;
Honduras;Colombia;Guatemala;Nicaragua;Costa Rica;Panama;US Virgin
Islands;Netherlands Antilles;"	Dominican Republic;Bahamas;Florida;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Oreochromis niloticus	NA	NA	NA	NA	NA	NA	Vertebrate - Fish	NA	Tilapia nilotica (DR);Nile Tilapia (ISC)	Freshwater	"Dominican Republic;US Virgin
Islands;Cuba;Grenada;Haiti;Jamaica;Martinique;Netherlands Antilles;Puerto
Rico;St. Lucia;St. Vincent-Grenadines;Trinidad-
Tobago;Guyana;Suriname;Venezuela;"	Dominican Republic	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
"Oreochromis placidus
placidus"	NA	NA	NA	NA	NA	NA	Vertebrate - Fish	NA	Black Tilapia	Freshwater	Barbados	Barbados	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Oreochromis sp.	NA	NA	NA	NA	NA	NA	Vertebrate - Fish	NA	Tilapia rojo (DR);	Freshwater	Dominican Republic;	Dominican Republic	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Oreochromis spp.	NA	NA	NA	NA	NA	NA	Vertebrate - Fish	NA	NA	NA	Cuba;Jamaica;Honduras;Colombia;Nicaragua;Costa Rica;	Nicaragua;Costa Rica;	"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"	Caribbean_IAS_db	NA	NA
Oreochromis urolepis	NA	NA	NA	NA	NA	NA	Vertebrate - Fish	NA	Tilapia;Rufigi tilapia	Freshwater	Bahamas Islands;	Bahamas Islands;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Orthezia insignis	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	Greenhouse orthezia (ISC)	NA	Bermuda;	Bermuda;	"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"	Caribbean_IAS_db	NA	NA
Osteopilus septentrionalis	21	NA	270	NA	2	78	"Vertebrate -
Amphibian"	NA	Cuban tree frog;	Terrestrial	"St. Martin;Anguilla;British Virgin Islands;Turks and Caicos Islands;Puerto Rico;US Virgin
Islands;Curacao;Guadeloupe;Antigua-Barbuda;Jamaica;"	"St. Martin;Antigua;British Virgin Islands; Jamaica; Netherlands Antilles
(Curacao);Puerto Rico;Turks and Caicos Islands;US Virgin Islands (St.Croix);"	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Ovis aries	NA	NA	NA	NA	NA	NA	"Vertebrate -
Mammal"	NA	Sheep;	Terrestrial	"Bahamas Islands;Curacao;Antigua-Barbuda;US Virgin Islands;Dominican
Republic;Haiti;British Virgin Islands;"	"Bahamas Islands;US
Virgin Islands;Dominican Republic;Haiti;"	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Palaemon africanus	NA	NA	NA	NA	NA	NA	"Invertebrate -
crustacean"	NA	African prawn	Marine	Florida;	NA	"Lopez Vyjayanthi and Ulrike Krauss. National and Regional
Capacities and Experiences on Marine Invasive Species,Including
Ballast Waters, Management Programmes in the Wider Caribbean
Region - a Compilation of Current Information. 2006."	Caribbean_IAS_db	NA	NA
Palmiculator palmarum	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	NA	NA	Bahamas Islands;	NA	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Papilio demoleus	1	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	chequered swallowtail	NA	Jamaica;Cayman Islands;Dominican Republic;	Jamaica;	"CABI,2011. Papilio demoleus. In: Invasive Species Compendium.
Wallingford, UK: CAB International. http://www.cabi.org/isc."	Caribbean_IAS_db	NA	NA
Paracoccus marginatus	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	Cochinilla de la lechoza (DR);papaya mealybug;	Terrestrial	"Dominican Republic;Antigua-Barbuda;British Virgin Islands;Nevis;Puerto
Rico;St. Barthelemy;St. Kitts;St. Martin;US Virgin Islands;Bahamas Islands;St.
Lucia;Barbados;Cuba;"	"Dominican Republic;Antigua-Barbuda;British Virgin Islands;Nevis;Puerto
Rico;St.Barthelemy;St. Kitts;St. Martin;US Virgin Islands;Bahamas Islands;St.
Lucia;Barbados;Cuba;"	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Parasaissetia longicorni	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	NA	Terrestrial	Bahamas Islands;	NA	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Parasaissetia nigra	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	Nigra scale	Terrestrial	Bahamas Islands;	NA	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Paratachardina pseudolobata	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	lobate lac scale (ISC)	NA	Bahamas Islands;	Bahamas Islands;	"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"	Caribbean_IAS_db	NA	NA
Paratrechina longicornis	17	5	11	43	26	25	"Invertebrate -
Insect"	NA	Crazy ant (ISC)	Terrestrial	"Bahamas Islands;British Virgin Islands;Anguilla;Montserrat;Turks-
Caicos;Cayman Islands;Bermuda;Haiti;Dominican Republic;Puerto Rico;US
Virgin Islands;Aruba;Martinique;St. Lucia;St. Vincent- Grenadines;Grenada;
Barbados;Trinidad-Tobago;Dominica;Guadeloupe; Antigua-Barbuda;St. Kitts-
Nevis;Cuba;Jamaica;St. Martin (France);Venezuela;Guyana;Suriname;"	Bermuda;British Virgin Islands;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Passer domesticus	2	3782	65	NA	10	32	Vertebrate - Bird	NA	"House sparrow;Gorrion domestico (DR);European
house sparrow;Europese huismuis"	Terrestrial	"Bahamas Islands;Dominican Republic;Curacao;Bermuda;St. Martin;British
Virgin Islands (Tortola Island);Guadeloupe;"	"Bahamas Islands;Bermuda;St. Martin;Curacao;Dominican Republic;British Virgin
Islands (Tortola Island);Guadeloupe;"	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Pelagodiscus sp.	NA	NA	NA	NA	NA	NA	"Invertebrate -
crustacean"	NA	A brachypod	Marine	Colombia;	NA	"Lopez Vyjayanthi and Ulrike Krauss. National and Regional
Capacities and Experiences on Marine Invasive Species,Including
Ballast Waters, Management Programmes in the Wider Caribbean
Region - a Compilation of Current Information. 2006."	Caribbean_IAS_db	NA	NA
Pelusios castaneus	NA	NA	NA	NA	NA	NA	Vertebrate - Reptile	NA	NA	Freshwater	Guadeloupe;	Guadeloupe;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Penaeus monodon	NA	NA	NA	NA	NA	NA	"Invertebrate -
Crustacean"	NA	Giant tiger prawn	Marine	Jamaica;Trinidad-Tobago;Venezuela;Mexico;Colombia;Florida;	NA	"CABI,2011. Penaeus monodon. In: Invasive Species Compendium.
Wallingford, UK: CAB International. http://www.cabi.org/isc."	Caribbean_IAS_db	NA	NA
Perna perna	NA	NA	NA	NA	NA	NA	"Invertebrate -
mollusc"	NA	Mexilhao mussel	Marine	Texas;	NA	"Lopez Vyjayanthi and Ulrike Krauss. National and Regional
Capacities and Experiences on Marine Invasive Species,Including
Ballast Waters, Management Programmes in the Wider Caribbean
Region - a Compilation of Current Information. 2006."	Caribbean_IAS_db	NA	NA
Perna viridis	NA	NA	NA	NA	NA	NA	"Invertebrate -
Mollusc"	NA	"Green-lipped mussel;Green mussel;Asian Green
Mussel (ISC)"	Marine	Jamaica;Trinidad;Venezuela;Florida;	Jamaica;Trinidad;Venezuela;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Pheidole megacephala	50	32	NA	4	1	16	"Invertebrate -
Insect"	NA	Big-headed ant (ISC)	NA	"Bermuda;Puerto Rico;Cuba;Bahamas;Dominican Republic;Haiti;Jamaica;St.
Vincent-Grenadines;Trinidad-Tobago;"	"Bermuda;Puerto Rico;Cuba;Bahamas;Dominican Republic;Haiti;Jamaica;St. Vincent-
Grenadines;Trinidad-Tobago;"	"CABI,2011. Pheidole megacephala. In: Invasive Species
Compendium. Wallingford, UK: CAB International.
http://www.cabi.org/isc."	Caribbean_IAS_db	NA	NA
Phenacoccus solenopsis	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	cotton mealybug	NA	Cayman Islands;Cuba;Dominican Republic;Guadeloupe;Jamaica;Martinique;	Cayman Islands;Cuba;Dominican Republic;Guadeloupe;	"CABI,2011. Phenacoccus solenopsis. In: Invasive Species
Compendium. Wallingford, UK: CAB International.
http://www.cabi.org/isc."	Caribbean_IAS_db	NA	NA
Phyllocnistis citrella	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	"Minador de los citricos (Dominican
Republic);citrus leaf miner;"	Terrestrial	Dominican Republic;Curacao;Barbados;	Dominican Republic;Curacao;Barbados;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Phyllorhiza punctata	NA	NA	NA	NA	NA	NA	"Invertebrate -
Jellyfish"	NA	Australian spotted jellyfish	Marine	Puerto Rico;Louisiana;Florida;	NA	"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"	Caribbean_IAS_db	NA	NA
Pinctada margaritifera	NA	NA	NA	NA	NA	NA	"Invertebrate -
mollusc"	NA	Pacific pearl oyster	Marine	Florida;	NA	"Lopez Vyjayanthi and Ulrike Krauss. National and Regional
Capacities and Experiences on Marine Invasive Species,Including
Ballast Waters, Management Programmes in the Wider Caribbean
Region - a Compilation of Current Information. 2006."	Caribbean_IAS_db	NA	NA
Pinnaspis strachani	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	Hibiscus snow scale	Terrestrial	Bahamas Islands;	NA	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Pitangus sulphuratus	NA	4256	NA	NA	NA	NA	Vertebrate - Bird	NA	Great Kiskadee	Terrestrial	Tobago;Bermuda;	Tobago;Bermuda;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Placsius avanus	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	Java beetle	Terrestrial	Jamaica;	Jamaica;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Platax orbicularis	NA	NA	NA	NA	NA	NA	Vertebrate - Fish	NA	Orbiculate batfish	Marine	Florida;	NA	"Lopez Vyjayanthi and Ulrike Krauss. National and Regional
Capacities and Experiences on Marine Invasive Species,Including
Ballast Waters, Management Programmes in the Wider Caribbean
Region - a Compilation of Current Information. 2006."	Caribbean_IAS_db	NA	NA
Platypus sp.	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	"Barrenador - Acacia mangium (DR);Ambrosia
beetle"	Terrestrial	Dominican Republic;	Dominican Republic;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
